onset	nadirt	peakt	end	hypv	depv
643.7	643.925	644.15	644.7	-20.8	21
1162.05	1162.225	1162.5	1162.975	-20	25.8
1170.825	1170.975	1171.275	1171.875	-16.4	23.8
1177.225	1177.4	1177.675	1177.975	-12.4	22.1
1190.225	1190.4	1190.675	1191.2	-15.5	22
1192.375	1192.55	1192.8	1193.275	-20.5	21.6
8564.025	8564.2	8564.475	8565.025	-18.5	34.4
8566.75	8567.05	8567.325	8567.875	-13.1	21.1
8574.65	8574.925	8575.175	8575.575	-13.5	20.8
8576.425	8576.675	8576.925	8577.475	-21.4	27.6
8579.775	8580.1	8580.375	8580.8	-13.9	21.5
8589.575	8589.875	8590.1	8590.6	-21.3	20.7
8595.4	8595.625	8595.85	8596.325	-22.4	19.5
8600.95	8601.125	8601.375	8601.85	-17.2	26.5
8603.75	8604.025	8604.275	8604.7	-14.3	21.6
9370.15	9370.375	9370.625	9371.025	-22	19
9453.65	9453.95	9454.225	9454.75	-15.3	18.9
9469.6	9469.85	9470.075	9470.625	-19.8	23.1
9478.15	9478.425	9478.675	9479.325	-11.4	18.3
9507.425	9507.7	9507.95	9508.4	-9.9	19.8
762.7	762.95	763.175	763.525	-23.2	18.1
770.475	770.775	771.025	772	-27.3	30.8
778.05	778.225	778.525	779	-11.8	26.7
789.925	790.15	790.375	790.95	-19.6	20.6
791.775	792	792.225	792.85	-22.2	23.2
856.2	856.4	856.65	857.25	-12	20.3
1432.5	1432.8	1433.025	1433.675	-23.2	32.9
1507.65	1507.925	1508.15	1508.725	-24.3	32.9
2258.625	2258.85	2259.075	2259.55	-24.2	33.4
11778.6	11778.875	11779.1	11779.65	-27.8	33.8
11815.525	11815.725	11815.95	11816.575	-20.4	31.9
11851	11851.225	11851.45	11852.075	-19.9	32.8
11858.575	11858.825	11859.05	11859.65	-22.7	36.6
11866.45	11866.7	11866.9	11867.525	-20.7	30.4
11874.875	11875.1	11875.325	11876.075	-22.9	29.7
11877.6	11877.775	11878	11878.3	-19	19.1
11912.1	11912.325	11912.55	11913.175	-20.6	19.9
11938.6	11938.85	11939.05	11939.6	-20.4	31.5
4523.675	4523.95	4524.2	4524.8	-22.8	22
6840.925	6841.175	6841.375	6842	-21.9	21.4
8490.975	8491.375	8491.65	8492.175	-26	37.1
9257.925	9258.125	9258.35	9258.85	-21.9	21.2
11809.775	11810.15	11810.425	11811.025	-11.4	19.8
11962.65	11962.975	11963.25	11963.8	-12.5	21.1
12291.95	12292.2	12292.45	12292.7	-23.8	19.7
12312.2	12312.525	12312.75	12313.275	-30.9	35.5
12384.375	12384.65	12384.925	12385.55	-22.9	25
13964.9	13965.15	13965.425	13966.2	-22.9	22.6
15571.1	15571.325	15571.55	15572.175	-22.4	21.1
 					
